top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,seats,drivetrain,length_mm,width_mm,height_mm,car_body_type
155,37.8,0,192.0,235.0,156,225,7.0,67.0,0,0.0,4,1,3673,1683,1518,2
155,37.8,0,192.0,235.0,149,225,7.0,67.0,0,0.0,4,1,3673,1683,1518,2
200,50.8,0,102.0,345.0,158,280,5.9,79.0,0,0.0,5,1,4187,1779,1557,4
200,50.8,0,102.0,345.0,158,280,6.2,79.0,0,0.0,5,1,4187,1779,1557,4
150,60.0,0,485.29347826086956,310.0,156,315,7.5,78.0,0,1052.2610619469026,5,1,4680,1865,1700,4
160,60.0,0,485.29347826086956,315.0,150,350,7.0,78.0,0,1052.2610619469026,5,1,4805,1880,1641,4
150,50.8,0,102.0,260.0,128,320,9.0,85.0,0,0.0,5,1,4173,1781,1532,4
200,50.8,0,102.0,345.0,164,310,6.0,85.0,0,0.0,5,1,4173,1781,1505,4
160,52.0,0,184.0,285.0,138,310,7.4,70.0,0,500.0,5,1,3997,1823,1512,2
170,52.0,0,184.0,300.0,144,305,6.4,70.0,0,500.0,5,1,3997,1823,1512,2
210,75.8,0,150.0,435.0,146,465,6.0,150.0,0,2100.0,5,2,4928,1923,1455,7
210,94.9,0,180.0,565.0,151,575,5.4,200.0,0,2100.0,5,2,4928,1923,1455,7
210,94.9,0,180.0,855.0,157,560,4.5,200.0,0,2100.0,5,0,4928,1923,1455,7
210,75.8,0,150.0,435.0,136,495,6.0,150.0,0,2100.0,5,2,4928,1923,1455,3
210,94.9,0,180.0,565.0,141,610,5.4,200.0,0,2100.0,5,2,4928,1923,1455,3
210,94.9,0,180.0,855.0,147,590,4.7,200.0,0,2100.0,5,0,4928,1923,1455,3
160,59.0,0,216.0,310.0,156,340,8.1,110.0,0,1000.0,5,2,4588,1865,1614,4
180,77.0,0,288.0,545.0,162,435,6.7,120.0,0,1000.0,5,2,4588,1865,1614,4
180,77.0,0,288.0,679.0,165,410,6.6,120.0,0,1200.0,5,0,4588,1865,1614,4
180,77.0,0,288.0,679.0,165,415,5.4,120.0,0,1200.0,5,0,4588,1865,1614,4
160,59.0,0,216.0,310.0,159,325,8.1,110.0,0,1000.0,5,2,4588,1865,1632,4
180,77.0,0,288.0,545.0,169,420,6.7,120.0,0,1000.0,5,2,4588,1865,1632,4
180,77.0,0,288.0,679.0,171,395,6.6,120.0,0,1200.0,5,0,4588,1865,1632,4
180,77.0,0,288.0,679.0,171,395,5.4,120.0,0,1200.0,5,0,4588,1865,1632,4
210,75.8,0,150.0,450.0,166,395,7.0,150.0,0,2000.0,5,2,4771,1939,1685,4
210,75.8,0,150.0,450.0,139,410,7.0,150.0,0,2000.0,5,2,4771,1939,1665,4
210,94.9,0,180.0,485.0,145,510,6.6,190.0,0,2000.0,5,2,4771,1939,1665,4
210,94.9,0,180.0,855.0,149,500,5.9,200.0,0,2400.0,5,0,4771,1939,1665,4
210,94.9,0,180.0,485.0,171,490,6.6,190.0,0,2000.0,5,2,4771,1939,1685,4
210,94.9,0,180.0,855.0,176,480,5.9,200.0,0,2400.0,5,0,4771,1939,1685,4
240,94.9,0,180.0,855.0,156,530,3.9,200.0,0,2100.0,5,0,4928,1923,1493,7
240,94.9,0,180.0,855.0,149,555,3.9,200.0,0,2100.0,5,0,4928,1923,1465,3
230,94.9,0,180.0,855.0,169,470,4.3,200.0,0,2400.0,5,0,4771,1965,1685,4
230,94.9,0,180.0,855.0,164,495,4.3,200.0,0,2400.0,5,0,4771,1965,1665,4
250,97.0,0,396.0,865.0,184,525,2.8,281.0,0,0.0,4,0,4997,1964,1389,5
250,97.0,0,396.0,1027.0,182,525,2.5,281.0,0,0.0,4,0,4997,1964,1389,5
245,97.0,0,396.0,740.0,172,540,3.4,281.0,0,0.0,4,0,5004,1964,1394,5
245,97.0,0,396.0,625.0,169,540,4.0,281.0,0,0.0,4,0,5004,1964,1394,5
225,81.3,0,485.29347826086956,795.0,197,450,3.9,131.0,0,1600.0,5,0,4783,1852,1448,3
190,67.1,0,485.29347826086956,400.0,174,430,6.0,95.0,0,1600.0,5,2,4783,1852,1448,3
190,81.3,0,485.29347826086956,430.0,174,515,5.6,131.0,0,1600.0,5,2,4783,1852,1448,3
200,81.3,0,485.29347826086956,600.0,183,490,5.1,131.0,0,1600.0,5,0,4783,1852,1448,3
230,81.2,0,485.29347826086956,795.0,172,430,3.8,136.0,0,2000.0,5,0,5060,1900,1505,5
230,81.2,0,485.29347826086956,795.0,179,425,3.9,136.0,0,2000.0,5,0,5060,1900,1505,7
193,81.2,0,485.29347826086956,400.0,159,480,6.0,136.0,0,1500.0,5,2,5060,1900,1515,5
193,81.2,0,485.29347826086956,400.0,165,465,6.1,136.0,0,1500.0,5,2,5060,1900,1515,7
215,81.2,0,485.29347826086956,590.0,167,465,5.4,136.0,0,2000.0,5,0,5060,1900,1515,5
215,81.2,0,485.29347826086956,590.0,174,450,5.5,136.0,0,2000.0,5,0,5060,1900,1515,7
250,101.7,0,485.29347826086956,1100.0,208,490,3.7,159.0,0,0.0,5,0,5391,1950,1544,5
205,101.7,0,485.29347826086956,650.0,177,520,5.5,159.0,0,0.0,5,2,5391,1950,1544,5
240,101.7,0,485.29347826086956,745.0,172,510,4.7,159.0,0,2000.0,5,0,5391,1950,1544,5
250,108.9,0,485.29347826086956,1015.0,209,500,3.8,150.0,0,2500.0,5,0,4965,1970,1695,4
200,94.8,0,485.29347826086956,700.0,193,470,5.1,115.0,0,2500.0,5,0,4965,1970,1695,4
